date,Approve,Disapprove
2014-06-15,42.3,54.0
2014-06-16,42.5,53.5
2014-06-17,42.4,53.6
2014-06-18,42.3,53.6
2014-06-19,42.3,53.9
2014-06-20,42.0,54.0
2014-06-21,41.8,53.8
2014-06-22,42.2,53.8
2014-06-23,41.6,54.1
2014-06-24,41.6,54.0
2014-06-25,41.5,54.1
2014-06-26,41.5,53.9
2014-06-27,41.5,53.9
2014-06-28,41.7,53.7
2014-06-29,41.7,53.6
2014-06-30,41.9,53.6
2014-07-01,41.7,53.3
2014-07-02,41.6,53.4
2014-07-03,41.6,53.4
2014-07-04,41.6,53.4
2014-07-05,41.9,53.3
2014-07-06,42.1,53.1
2014-07-07,42.0,53.3
2014-07-08,41.4,53.9
2014-07-09,41.1,54.3
2014-07-10,41.1,54.1
2014-07-11,40.9,54.4
2014-07-12,41.0,54.1
2014-07-13,41.0,54.1
2014-07-14,41.3,54.0
2014-07-15,41.6,53.7
2014-07-16,41.9,53.1
2014-07-17,41.8,52.8
2014-07-18,42.0,52.7
2014-07-19,42.2,52.7
2014-07-20,42.2,52.7
2014-07-21,42.3,52.2
2014-07-22,42.7,52.2
2014-07-23,42.6,52.6
2014-07-24,42.4,52.9
2014-07-25,42.0,53.1
2014-07-26,41.9,53.3
2014-07-27,42.0,53.8
2014-07-28,42.0,54.0
2014-07-29,41.8,54.5
2014-07-30,41.5,55.0
2014-07-31,41.7,54.7
2014-08-01,41.6,55.3
2014-08-02,41.6,55.1
2014-08-03,41.6,55.3
2014-08-04,41.7,55.1
2014-08-05,41.6,54.9
2014-08-06,41.4,54.3
2014-08-07,41.6,54.2
2014-08-08,41.2,54.1
2014-08-09,41.1,54.1
2014-08-10,41.0,54.1
2014-08-11,41.1,54.1
2014-08-12,41.1,53.4
2014-08-13,41.3,52.8
2014-08-14,41.1,52.7
2014-08-15,41.3,52.4
2014-08-16,41.3,52.6
2014-08-17,41.3,52.6
2014-08-18,41.6,52.4
2014-08-19,41.8,52.1
2014-08-20,41.8,52.2
2014-08-21,42.0,52.0
2014-08-22,41.9,51.9
2014-08-23,41.7,52.2
2014-08-24,41.6,52.6
2014-08-25,42.0,52.1
2014-08-26,42.1,52.0
2014-08-27,42.1,52.3
2014-08-28,41.8,52.4
2014-08-29,41.9,52.3
2014-08-30,42.0,52.1
2014-08-31,42.0,52.0
2014-09-01,42.0,52.0
2014-09-02,42.0,52.1
2014-09-03,42.0,52.3
2014-09-04,41.7,52.7
2014-09-05,41.7,52.7
2014-09-06,41.7,53.0
2014-09-07,41.8,53.2
2014-09-08,42.3,53.4
2014-09-09,42.0,53.8
2014-09-10,41.4,54.4
2014-09-11,41.3,54.6
2014-09-12,41.4,54.0
2014-09-13,41.3,54.0
2014-09-14,41.6,53.9
2014-09-15,41.4,54.0
2014-09-16,41.3,54.3
2014-09-17,41.2,53.8
2014-09-18,41.3,53.7
2014-09-19,41.3,53.7
2014-09-20,41.2,53.8
2014-09-21,41.3,53.7
2014-09-22,41.7,53.3
2014-09-23,41.6,53.4
2014-09-24,41.5,53.4
2014-09-25,41.4,53.6
2014-09-26,41.3,53.5
2014-09-27,41.3,53.7
2014-09-28,41.3,53.6
2014-09-29,41.4,53.6
2014-09-30,41.7,53.3
2014-10-01,41.9,53.6
2014-10-02,42.2,53.4
2014-10-03,42.5,53.4
2014-10-04,42.9,53.4
2014-10-05,42.9,53.1
2014-10-06,43.3,52.8
2014-10-07,43.0,52.9
2014-10-08,42.9,52.7
2014-10-09,42.5,52.8
2014-10-10,42.0,52.9
2014-10-11,42.1,53.0
2014-10-12,42.4,52.6
2014-10-13,42.6,52.3
2014-10-14,42.6,52.3
2014-10-15,42.0,52.4
2014-10-16,42.0,52.5
2014-10-17,42.0,52.9
2014-10-18,42.0,53.1
2014-10-19,41.6,53.4
2014-10-20,41.4,53.6
2014-10-21,41.6,53.4
2014-10-22,41.5,54.1
2014-10-23,41.2,54.1
2014-10-24,41.3,54.2
2014-10-25,41.3,54.4
2014-10-26,41.2,54.4
2014-10-27,41.5,54.3
2014-10-28,41.9,54.7
2014-10-29,41.7,54.3
2014-10-30,42.0,53.8
2014-10-31,42.1,53.4
2014-11-01,42.0,53.4
2014-11-02,41.8,53.4
2014-11-03,41.9,53.4
2014-11-04,42.0,53.3
2014-11-05,42.2,53.0
2014-11-06,42.0,53.2
2014-11-07,41.9,53.3
2014-11-08,41.8,53.4
2014-11-09,41.7,53.4
2014-11-10,41.8,53.3
2014-11-11,41.6,53.7
2014-11-12,41.6,53.8
2014-11-13,41.6,53.9
2014-11-14,41.8,53.5
2014-11-15,41.7,53.9
2014-11-16,41.7,53.7
2014-11-17,42.0,53.4
2014-11-18,41.9,53.6
2014-11-19,42.3,53.0
2014-11-20,42.3,53.3
2014-11-21,42.5,53.2
2014-11-22,42.5,53.3
